245,石家庄工商职业学院
246,石家庄理工职业学院
247,石家庄科技信息职业学院
248,河北司法警官职业学院
249,沧州医学高等专科学校
250,河北女子职业技术学院
251,石家庄医学高等专科学校
252,石家庄经济职业学院
253,冀中职业学院
254,石家庄人民医学高等专科学校
255,石家庄科技工程职业学院
256,河北劳动关系职业学院
257,石家庄科技职业学院
258,泊头职业学院
259,宣化科技职业学院
260,廊坊燕京职业技术学院
261,承德护理职业学院
262,石家庄幼儿师范高等专科学校
263,廊坊卫生职业学院
264,河北轨道运输职业技术学院
265,保定幼儿师范高等专科学校
266,河北工艺美术职业学院
267,渤海理工职业学院
268,唐山幼儿师范高等专科学校
269,曹妃甸职业技术学院
270,承德应用技术职业学院
271,邯郸幼儿师范高等专科学校
272,邯郸科技职业学院
273,唐山海运职业学院
274,山西大学
275,太原科技大学
276,中北大学
277,太原理工大学
278,山西农业大学
279,山西医科大学
280,长治医学院
281,山西师范大学
282,太原师范学院
283,山西大同大学
284,晋中学院
285,长治学院
286,运城学院
287,忻州师范学院
288,山西财经大学
289,山西中医药大学
290,吕梁学院
291,太原学院
292,山西警察学院
293,山西应用科技学院
294,山西大学商务学院
295,太原理工大学现代科技学院
296,山西农业大学信息学院
297,山西师范大学现代文理学院
298,中北大学信息商务学院
299,太原科技大学华科学院
300,山西医科大学晋祠学院
301,山西财经大学华商学院
302,山西工商学院
303,太原工业学院
304,运城职业技术大学
305,山西传媒学院
306,山西工程技术学院
307,山西能源学院
308,山西省财政税务专科学校
309,长治职业技术学院
310,山西艺术职业学院
311,晋城职业技术学院
312,山西建筑职业技术学院
313,山西药科职业学院
314,山西交通职业技术学院
315,大同煤炭职业技术学院
316,山西机电职业技术学院
317,山西戏剧职业学院
318,山西财贸职业技术学院
319,山西林业职业技术学院
320,山西水利职业技术学院
321,阳泉职业技术学院
322,临汾职业技术学院
323,山西职业技术学院
324,山西金融职业学院
325,太原城市职业技术学院
326,山西信息职业技术学院
327,山西体育职业学院
328,山西警官职业学院
329,山西国际商务职业学院
330,潞安职业技术学院
331,太原旅游职业学院
332,山西旅游职业学院
333,山西管理职业学院
334,山西电力职业技术学院
335,忻州职业技术学院
336,山西同文职业技术学院
337,晋中职业技术学院
338,山西华澳商贸职业学院
339,山西运城农业职业技术学院
340,运城幼儿师范高等专科学校
341,山西老区职业技术学院
342,山西经贸职业学院
343,朔州职业技术学院
344,山西铁道职业技术学院
345,晋中师范高等专科学校
346,阳泉师范高等专科学校
347,山西青年职业学院
348,运城护理职业学院
349,运城师范高等专科学校
350,朔州师范高等专科学校
351,吕梁职业技术学院
352,大同师范高等专科学校
353,太原幼儿师范高等专科学校
354,山西工程职业学院
355,长治幼儿师范高等专科学校
356,山西通用航空职业技术学院
357,朔州陶瓷职业技术学院
358,山西卫生健康职业学院
359,内蒙古大学
360,内蒙古科技大学
361,内蒙古工业大学
362,内蒙古农业大学
363,内蒙古医科大学
364,内蒙古师范大学
365,内蒙古民族大学
366,赤峰学院
367,内蒙古财经大学
368,呼伦贝尔学院
369,集宁师范学院
370,河套学院
371,呼和浩特民族学院
372,内蒙古大学创业学院
373,内蒙古鸿德文理学院
374,内蒙古艺术学院
375,鄂尔多斯应用技术学院
376,内蒙古建筑职业技术学院
377,内蒙古丰州职业学院
378,包头职业技术学院
379,兴安职业技术学院
380,呼和浩特职业学院
381,包头轻工职业技术学院
382,内蒙古电子信息职业技术学院
383,内蒙古机电职业技术学院
384,内蒙古化工职业学院
385,内蒙古商贸职业学院
386,锡林郭勒职业学院
387,内蒙古警察职业学院
388,内蒙古体育职业学院
389,乌兰察布职业学院
390,通辽职业学院
391,科尔沁艺术职业学院
392,内蒙古交通职业技术学院
393,包头钢铁职业技术学院
394,乌海职业技术学院
395,内蒙古科技职业学院
396,内蒙古北方职业技术学院
397,赤峰职业技术学院
398,内蒙古经贸外语职业学院
399,包头铁道职业技术学院
400,乌兰察布医学高等专科学校
401,鄂尔多斯职业学院
402,内蒙古工业职业学院
403,呼伦贝尔职业技术学院
404,满洲里俄语职业学院
405,内蒙古能源职业学院
406,赤峰工业职业技术学院
407,阿拉善职业技术学院
408,内蒙古美术职业学院
409,内蒙古民族幼儿师范高等专科学校
410,鄂尔多斯生态环境职业学院
411,扎兰屯职业学院
412,赤峰应用技术职业学院
412,赤峰应用技术职业学院
414,大连理工大学
415,沈阳工业大学
416,沈阳航空航天大学
417,沈阳理工大学
418,东北大学
419,辽宁科技大学
420,辽宁工程技术大学
421,辽宁石油化工大学
422,沈阳化工大学
423,大连交通大学
424,大连海事大学
425,大连工业大学
426,沈阳建筑大学
427,辽宁工业大学
428,沈阳农业大学
429,大连海洋大学
430,中国医科大学
431,锦州医科大学
432,大连医科大学
433,辽宁中医药大学
434,沈阳药科大学
435,沈阳医学院
436,辽宁师范大学
437,沈阳师范大学
438,渤海大学
439,鞍山师范学院
440,大连外国语大学
441,东北财经大学
442,中国刑事警察学院
443,沈阳体育学院
444,沈阳音乐学院
445,鲁迅美术学院
446,辽宁对外经贸学院
447,沈阳大学
448,大连大学
449,辽宁科技学院
450,辽宁警察学院
451,沈阳工程学院
452,辽东学院
453,大连民族大学
454,辽宁理工职业大学
455,大连理工大学城市学院
456,沈阳工业大学工程学院
457,沈阳航空航天大学北方科技学院
458,沈阳工学院
459,大连工业大学艺术与信息工程学院
460,大连科技学院
461,沈阳城市建设学院
462,中国医科大学临床医药学院
463,大连医科大学中山学院
464,锦州医科大学医疗学院
465,辽宁师范大学海华学院
466,辽宁理工学院
467,大连财经学院
468,沈阳城市学院
469,辽宁石油化工大学顺华能源学院
470,大连艺术学院
471,辽宁中医药大学杏林学院
472,辽宁何氏医学院
473,沈阳科技学院
474,大连东软信息学院
475,辽宁财贸学院
476,辽宁传媒学院
477,营口理工学院
478,朝阳师范高等专科学校
479,抚顺师范高等专科学校
480,锦州师范高等专科学校
481,营口职业技术学院
482,铁岭师范高等专科学校
483,大连职业技术学院
484,辽宁农业职业技术学院
485,抚顺职业技术学院
486,辽阳职业技术学院
487,阜新高等专科学校
488,辽宁省交通高等专科学校
489,辽宁税务高等专科学校
490,盘锦职业技术学院
491,沈阳航空职业技术学院
492,辽宁体育运动职业技术学院
493,辽宁职业学院
494,辽宁生态工程职业学院
495,沈阳职业技术学院
496,大连商务职业学院
497,辽宁金融职业学院
498,辽宁轨道交通职业学院
499,辽宁广告职业学院
500,辽宁机电职业技术学院
501,辽宁经济职业技术学院
502,辽宁石化职业技术学院
503,渤海船舶职业学院
504,大连软件职业学院
505,大连翻译职业学院
506,辽宁商贸职业学院
507,大连枫叶职业技术学院
508,辽宁装备制造职业技术学院
509,辽河石油职业技术学院
510,辽宁地质工程职业学院
511,辽宁铁道职业技术学院
512,辽宁建筑职业学院
513,大连航运职业技术学院
514,大连装备制造职业技术学院
515,大连汽车职业技术学院
516,辽宁现代服务职业技术学院
517,辽宁冶金职业技术学院
518,辽宁工程职业学院
519,辽宁城市建设职业技术学院
520,辽宁医药职业学院
521,铁岭卫生职业学院
522,沈阳北软信息职业技术学院
523,辽宁政法职业学院
524,辽宁民族师范高等专科学校
525,辽宁轻工职业学院
526,辽宁特殊教育师范高等专科学校
527,辽宁师范高等专科学校
528,鞍山职业技术学院
529,吉林大学
530,延边大学
531,长春理工大学
532,东北电力大学
533,长春工业大学
534,吉林建筑大学
535,吉林化工学院
536,吉林农业大学
537,长春中医药大学
538,东北师范大学
539,北华大学
540,通化师范学院
541,吉林师范大学
542,吉林工程技术师范学院
543,长春师范大学
544,白城师范学院
545,吉林财经大学
546,吉林体育学院
547,吉林艺术学院
548,吉林外国语大学
549,吉林工商学院
550,长春工程学院
551,吉林农业科技学院
552,吉林警察学院
553,长春大学
554,长春光华学院
555,长春工业大学人文信息学院
556,长春理工大学光电信息学院
557,长春财经学院
558,吉林建筑科技学院
559,长春建筑学院
560,长春科技学院
561,吉林动画学院
562,吉林师范大学博达学院
563,长春大学旅游学院
564,东北师范大学人文学院
565,吉林医药学院
566,长春师范高等专科学校
567,辽源职业技术学院
568,四平职业大学
569,长春汽车工业高等专科学校
570,长春金融高等专科学校
571,长春医学高等专科学校
572,吉林交通职业技术学院
573,长春东方职业学院
574,吉林司法警官职业学院
575,吉林电子信息职业技术学院
576,吉林工业职业技术学院
577,吉林工程职业学院
578,长春职业技术学院
579,白城医学高等专科学校
580,长春信息技术职业学院
581,松原职业技术学院
582,吉林铁道职业技术学院
583,白城职业技术学院
584,长白山职业技术学院
585,吉林科技职业技术学院
586,延边职业技术学院
587,吉林城市职业技术学院
588,吉林职业技术学院
589,吉林水利电力职业学院
590,长春健康职业学院
591,长春早期教育职业学院
592,梅河口康美职业技术学院
593,黑龙江大学
594,哈尔滨工业大学
595,哈尔滨理工大学
596,哈尔滨工程大学
597,黑龙江科技大学
598,东北石油大学
599,佳木斯大学
600,黑龙江八一农垦大学
601,东北农业大学
602,东北林业大学
603,哈尔滨医科大学
604,黑龙江中医药大学
605,牡丹江医学院
606,哈尔滨师范大学
607,齐齐哈尔大学
